# SIRIUS SI MACHINE CONFIGURATION
# ==================================
#
# TIMESTAMP 2016-03-16 15:52:25  (by sirius-save-machine-configuration.py)

VA-SIPS-BEND-FAM                                   : 581.1916191191597
VA-SIPS-QF2-17C4                                   : 0.0
VA-SIPS-QF2-18C1                                   : 0.0
VA-SIPS-QF2-18C4                                   : 0.0
VA-SIPS-QF2-19C1                                   : 0.0
VA-SIPS-QF2-19C4                                   : 0.0
VA-SIPS-QF2-20C1                                   : 0.0
VA-SIPS-QF2-20C4                                   : 0.0
VA-SIPS-QF2-FAM                                    : 213.38421753089818
VA-SIPS-QF3-01C2                                   : 0.0
VA-SIPS-QF3-01C3                                   : 0.0
VA-SIPS-QF3-02C2                                   : 0.0
VA-SIPS-QF3-02C3                                   : 0.0
VA-SIPS-QF3-03C2                                   : 0.0
VA-SIPS-QF3-03C3                                   : 0.0
VA-SIPS-QF3-04C2                                   : 0.0
VA-SIPS-QF3-04C3                                   : 0.0
VA-SIPS-QF3-05C2                                   : 0.0
VA-SIPS-QF3-05C3                                   : 0.0
VA-SIPS-QF3-06C2                                   : 0.0
VA-SIPS-QF3-06C3                                   : 0.0
VA-SIPS-QF3-07C2                                   : 0.0
VA-SIPS-QF3-07C3                                   : 0.0
VA-SIPS-QF3-08C2                                   : 0.0
VA-SIPS-QF3-08C3                                   : 0.0
VA-SIPS-QF3-09C2                                   : 0.0
VA-SIPS-QF3-09C3                                   : 0.0
VA-SIPS-QF3-10C2                                   : 0.0
VA-SIPS-QF3-10C3                                   : 0.0
VA-SIPS-QF3-11C2                                   : 0.0
VA-SIPS-QF3-11C3                                   : 0.0
VA-SIPS-QF3-12C2                                   : 0.0
VA-SIPS-QF3-12C3                                   : 0.0
VA-SIPS-QF3-13C2                                   : 0.0
VA-SIPS-QF3-13C3                                   : 0.0
VA-SIPS-QF3-14C2                                   : 0.0
VA-SIPS-QF3-14C3                                   : 0.0
VA-SIPS-QF3-15C2                                   : 0.0
VA-SIPS-QF3-15C3                                   : 0.0
VA-SIPS-QF3-16C2                                   : 0.0
VA-SIPS-QF3-16C3                                   : 0.0
VA-SIPS-QF3-17C2                                   : 0.0
VA-SIPS-QF3-17C3                                   : 0.0
VA-SIPS-QF3-18C2                                   : 0.0
VA-SIPS-QF3-18C3                                   : 0.0
VA-SIPS-QF3-19C2                                   : 0.0
VA-SIPS-QF3-19C3                                   : 0.0
VA-SIPS-QF3-20C2                                   : 0.0
VA-SIPS-QF3-20C3                                   : 0.0
VA-SIPS-QF3-FAM                                    : 163.87636838850602
VA-SIPS-QF4-01C2                                   : 0.0
VA-SIPS-QF4-01C3                                   : 0.0
VA-SIPS-QF4-02C2                                   : 0.0
VA-SIPS-QF4-02C3                                   : 0.0
VA-SIPS-QF4-03C2                                   : 0.0
VA-SIPS-QF4-03C3                                   : 0.0
VA-SIPS-QF4-04C2                                   : 0.0
VA-SIPS-QF4-04C3                                   : 0.0
VA-SIPS-QF4-05C2                                   : 0.0
VA-SIPS-QF4-05C3                                   : 0.0
VA-SIPS-QF4-06C2                                   : 0.0
VA-SIPS-QF4-06C3                                   : 0.0
VA-SIPS-QF4-07C2                                   : 0.0
VA-SIPS-QF4-07C3                                   : 0.0
VA-SIPS-QF4-08C2                                   : 0.0
VA-SIPS-QF4-08C3                                   : 0.0
VA-SIPS-QF4-09C2                                   : 0.0
VA-SIPS-QF4-09C3                                   : 0.0
VA-SIPS-QF4-10C2                                   : 0.0
VA-SIPS-QF4-10C3                                   : 0.0
VA-SIPS-QF4-11C2                                   : 0.0
VA-SIPS-QF4-11C3                                   : 0.0
VA-SIPS-QF4-12C2                                   : 0.0
VA-SIPS-QF4-12C3                                   : 0.0
VA-SIPS-QF4-13C2                                   : 0.0
VA-SIPS-QF4-13C3                                   : 0.0
VA-SIPS-QF4-14C2                                   : 0.0
VA-SIPS-QF4-14C3                                   : 0.0
VA-SIPS-QF4-15C2                                   : 0.0
VA-SIPS-QF4-15C3                                   : 0.0
VA-SIPS-QF4-16C2                                   : 0.0
VA-SIPS-QF4-16C3                                   : 0.0
VA-SIPS-QF4-17C2                                   : 0.0
VA-SIPS-QF4-17C3                                   : 0.0
VA-SIPS-QF4-18C2                                   : 0.0
VA-SIPS-QF4-18C3                                   : 0.0
VA-SIPS-QF4-19C2                                   : 0.0
VA-SIPS-QF4-19C3                                   : 0.0
VA-SIPS-QF4-20C2                                   : 0.0
VA-SIPS-QF4-20C3                                   : 0.0
VA-SIPS-QF4-FAM                                    : 196.53801345882604
VA-SIPS-QFA-01M2                                   : 0.0
VA-SIPS-QFA-02M2                                   : 0.0
VA-SIPS-QFA-03M2                                   : 0.0
VA-SIPS-QFA-04M2                                   : 0.0
VA-SIPS-QFA-05M2                                   : 0.0
VA-SIPS-QFA-06M2                                   : 0.0
VA-SIPS-QFA-07M2                                   : 0.0
VA-SIPS-QFA-08M2                                   : 0.0
VA-SIPS-QFA-09M2                                   : 0.0
VA-SIPS-QFA-10M2                                   : 0.0
VA-SIPS-QFA-11M2                                   : 0.0
VA-SIPS-QFA-12M2                                   : 0.0
VA-SIPS-QFA-13M2                                   : 0.0
VA-SIPS-QFA-14M2                                   : 0.0
VA-SIPS-QFA-15M2                                   : 0.0
VA-SIPS-QFA-16M2                                   : 0.0
VA-SIPS-QFA-17M2                                   : 0.0
VA-SIPS-QFA-18M2                                   : 0.0
VA-SIPS-QFA-19M2                                   : 0.0
VA-SIPS-QFA-20M2                                   : 0.0
VA-SIPS-QFA-FAM                                    : 178.93508151306273
VA-SIPS-QFB-01M1                                   : 0.0
VA-SIPS-QFB-02M1                                   : 0.0
VA-SIPS-QFB-03M1                                   : 0.0
VA-SIPS-QFB-04M1                                   : 0.0
VA-SIPS-QFB-05M1                                   : 0.0
VA-SIPS-QFB-06M1                                   : 0.0
VA-SIPS-QFB-07M1                                   : 0.0
VA-SIPS-QFB-08M1                                   : 0.0
VA-SIPS-QFB-09M1                                   : 0.0
VA-SIPS-QFB-10M1                                   : 0.0
VA-SIPS-QFB-11M1                                   : 0.0
VA-SIPS-QFB-12M1                                   : 0.0
VA-SIPS-QFB-13M1                                   : 0.0
VA-SIPS-QFB-14M1                                   : 0.0
VA-SIPS-QFB-15M1                                   : 0.0
VA-SIPS-QFB-16M1                                   : 0.0
VA-SIPS-QFB-17M1                                   : 0.0
VA-SIPS-QFB-18M1                                   : 0.0
VA-SIPS-QFB-19M1                                   : 0.0
VA-SIPS-QFB-20M1                                   : 0.0
VA-SIPS-QFB-FAM                                    : 307.227955313795
VA-SIPS-QS-01C1                                    : 0.0
VA-SIPS-QS-01C4                                    : 0.0
VA-SIPS-QS-01M1                                    : 0.0
VA-SIPS-QS-01M2                                    : 0.0
VA-SIPS-QS-02C1                                    : 0.0
VA-SIPS-QS-02C4                                    : 0.0
VA-SIPS-QS-02M1                                    : 0.0
VA-SIPS-QS-02M2                                    : 0.0
VA-SIPS-QS-03C1                                    : 0.0
VA-SIPS-QS-03C4                                    : 0.0
VA-SIPS-QS-03M1                                    : 0.0
VA-SIPS-QS-03M2                                    : 0.0
VA-SIPS-QS-04C1                                    : 0.0
VA-SIPS-QS-04C4                                    : 0.0
VA-SIPS-QS-04M1                                    : 0.0
VA-SIPS-QS-04M2                                    : 0.0
VA-SIPS-QS-05C1                                    : 0.0
VA-SIPS-QS-05C4                                    : 0.0
VA-SIPS-QS-05M1                                    : 0.0
VA-SIPS-QS-05M2                                    : 0.0
VA-SIPS-QS-06C1                                    : 0.0
VA-SIPS-QS-06C4                                    : 0.0
VA-SIPS-QS-06M1                                    : 0.0
VA-SIPS-QS-06M2                                    : 0.0
VA-SIPS-QS-07C1                                    : 0.0
VA-SIPS-QS-07C4                                    : 0.0
VA-SIPS-QS-07M1                                    : 0.0
VA-SIPS-QS-07M2                                    : 0.0
VA-SIPS-QS-08C1                                    : 0.0
VA-SIPS-QS-08C4                                    : 0.0
VA-SIPS-QS-08M1                                    : 0.0
VA-SIPS-QS-08M2                                    : 0.0
VA-SIPS-QS-09C1                                    : 0.0
VA-SIPS-QS-09C4                                    : 0.0
VA-SIPS-QS-09M1                                    : 0.0
VA-SIPS-QS-09M2                                    : 0.0
VA-SIPS-QS-10C1                                    : 0.0
VA-SIPS-QS-10C4                                    : 0.0
VA-SIPS-QS-10M1                                    : 0.0
VA-SIPS-QS-10M2                                    : 0.0
VA-SIPS-QS-11C1                                    : 0.0
VA-SIPS-QS-11C4                                    : 0.0
VA-SIPS-QS-11M1                                    : 0.0
VA-SIPS-QS-11M2                                    : 0.0
VA-SIPS-QS-12C1                                    : 0.0
VA-SIPS-QS-12C4                                    : 0.0
VA-SIPS-QS-12M1                                    : 0.0
VA-SIPS-QS-12M2                                    : 0.0
VA-SIPS-QS-13C1                                    : 0.0
VA-SIPS-QS-13C4                                    : 0.0
VA-SIPS-QS-13M1                                    : 0.0
VA-SIPS-QS-13M2                                    : 0.0
VA-SIPS-QS-14C1                                    : 0.0
VA-SIPS-QS-14C4                                    : 0.0
VA-SIPS-QS-14M1                                    : 0.0
VA-SIPS-QS-14M2                                    : 0.0
VA-SIPS-QS-15C1                                    : 0.0
VA-SIPS-QS-15C4                                    : 0.0
VA-SIPS-QS-15M1                                    : 0.0
VA-SIPS-QS-15M2                                    : 0.0
VA-SIPS-QS-16C1                                    : 0.0
VA-SIPS-QS-16C4                                    : 0.0
VA-SIPS-QS-16M1                                    : 0.0
VA-SIPS-QS-16M2                                    : 0.0
VA-SIPS-QS-17C1                                    : 0.0
VA-SIPS-QS-17C4                                    : 0.0
VA-SIPS-QS-17M1                                    : 0.0
VA-SIPS-QS-17M2                                    : 0.0
VA-SIPS-QS-18C1                                    : 0.0
VA-SIPS-QS-18C4                                    : 0.0
VA-SIPS-QS-18M1                                    : 0.0
VA-SIPS-QS-18M2                                    : 0.0
VA-SIPS-QS-19C1                                    : 0.0
VA-SIPS-QS-19C4                                    : 0.0
VA-SIPS-QS-19M1                                    : 0.0
VA-SIPS-QS-19M2                                    : 0.0
VA-SIPS-QS-20C1                                    : 0.0
VA-SIPS-QS-20C4                                    : 0.0
VA-SIPS-QS-20M1                                    : 0.0
VA-SIPS-QS-20M2                                    : 0.0
VA-SIPS-SD1J-FAM                                   : 106.19598302758327
VA-SIPS-SD1K-FAM                                   : 81.9113050424678
VA-SIPS-SD2J-FAM                                   : 58.019774139796844
VA-SIPS-SD2K-FAM                                   : 79.83566883519978
VA-SIPS-SD3J-FAM                                   : 78.05748756224511
VA-SIPS-SD3K-FAM                                   : 115.33615848061297
VA-SIPS-SDA-FAM                                    : 50.410796610316886
VA-SIPS-SDB-FAM                                    : 37.650257923538135
VA-SIPS-SF1J-FAM                                   : 120.9945358956702
VA-SIPS-SF1K-FAM                                   : 143.97628095874964
VA-SIPS-SF2J-FAM                                   : 97.5356274031751
VA-SIPS-SF2K-FAM                                   : 134.52011755369236
VA-SIPS-SFA-FAM                                    : 34.28602099459966
VA-SIPS-SFB-FAM                                    : 46.43651451495168
VA-SIPU-KICKERINJ-01M2                             : 7210.0
VA-SIPU-PMM-01M2                                   : 0.0
VA-SIRF-FREQUENCY                                  : 499657952.05210483
VA-SIRF-VOLTAGE                                    : 3000000.0
VA-SITI-KICKERINJ-DELAY                            : 0.2300185553726935
VA-SITI-KICKERINJ-ENABLED                          : 1.0
VA-SITI-PMM-DELAY                                  : 0.23001900811459033
VA-SITI-PMM-ENABLED                                : 1.0
